Country,Date,Rating,Review,Version
US,04/18/2020,width: 39%;,I have been using your medication tracking for several years. In recent updates when I log my medications I receive persistent notices to reset my notifications in settings to allow. I have turned them OFF BECAUSE I DONT WANT THE NOTIFICATIONS. NOR DO I WANT NOTICES TO TURN THEM ON. This is EXTREMELY ANNOYING. If you don’t fix this I will find a different app for my purpose.,8.6
US,04/15/2020,width: 99%;,Very helpful,8.6
Germany,04/14/2020,width: 99%;,"Really I need this application specially :
-1-  diagnosis 
2- symptoms 
3-medications and sides effect of medications",-
US,04/12/2020,width: 99%;,"WebMD always provides an accurate, dependable and very informative reference site in both medical & layman language. It is one of the few medical sites in which the general public can be assured they are receiving correct information.",8.5.1
US,04/11/2020,width: 59%;,Where is that interactive body model where you click on the specific part of your body and get diagnostics without trying too hard.... Is this a bug???,8.5.1
US,04/08/2020,width: 99%;,I think this is a Great App.!!!!! It’s right on in giving you information on anything you want to know.,8.5.1
US,04/08/2020,width: 99%;,Always helpful AND reliable!,8.5.1
India,04/07/2020,width: 99%;,"service, daily installs can reach 3000+. Ping me at Skype: +8618990290838  / Whatsapp:+8618990290838. Every one can get a test promtion for 3 days now!",8.5.1
US,04/02/2020,width: 99%;,"Your Doing a Great Job, Keep Up the Great Work.!!! 🎯🎯🎯💯💯💯🙏🏾🙏🏾🙏🏾",8.5.1
US,04/01/2020,width: 99%;,Great for checking on symptoms for anyrhing,8.5.1
US,03/29/2020,width: 99%;,Trump has done a lousy job taking care of the US from this virus. More people have the virus in the US than anywhere in the world.,8.5.1
Qatar,03/28/2020,width: 99%;,Five star,-
US,03/27/2020,width: 99%;,Always accurate information,8.5.1
US,03/25/2020,width: 39%;,Thx,8.5.1
US,03/23/2020,width: 59%;,You guys stay safe!  We will need you for a long time! We need you to keep us healthy so we can get vaccines and for us to get old and grey together.,8.5.1
US,03/22/2020,width: 39%;,Was better before,8.5.1
US,03/20/2020,width: 99%;,I,8.5.1
US,03/20/2020,width: 99%;,"Thanks so very much for Your wonderful Website.  Your information is Always Invaluable.  You are helping Me & so many others keep Healthy & also keeping Our Minds Alert.  Information that I cannot find in other places seems to come in a Timely Manner. From the Bottom of My Heart, Thank You!  God Bless You.",8.5.1
US,03/16/2020,width: 99%;,Essentials WebMD excels in this,8.5
US,03/16/2020,width: 99%;,..to t,8.5
