Country,Date,Rating,Review,Version,source
Great Britain,06/02/2020,1,"Constantly get cut off when you are you lucky enough to get through. Despite being no 1 in the queue , suddenly it changes to a number further up in the queue. Ordered an antibody testing kit on 19th May big it still hasn’t arrived.",4.22.0,babylon_itunes
Great Britain,06/02/2020,1,They stated dispatched twice ....both times the lied,4.20.8,babylon_itunes
Great Britain,06/01/2020,1,"I was sent warnings one hour , and ten minutes before the appointment - which was scheduled for 9.30 . At 09.21 I was informed that I had cancelled .

This is totally unacceptable .",4.22.0,babylon_itunes
Great Britain,06/01/2020,1,"Appalling service re covid antibody test. Ordered 2 weeks ago, still not received. Tried to cancel and after 48h have been asked to confirm my details - which they could have got from my email address and order number.
Reporting to bank card as fraud.",4.22.0,babylon_itunes
Great Britain,06/01/2020,1,"Twice I’ve logged a call and still nothing, it says if the call is late, I will be notified, but I haven’t and it’s 20 mins late.",4.22.0,babylon_itunes
Great Britain,05/31/2020,5,"Easy to use app, gets you what you need without queuing in long waiting lines. 

This app has really digitised and have put essential healthcare in the palm of our hands

Thank you Babylon.",4.22.0,babylon_itunes
Great Britain,05/31/2020,5,"A joy to video chat with the gp - fast and painless. You do have to follow up with clinical appointments such as blood tests with the call centre after speaking to the GP, and that does not always go to plan with a recent appointment cancelled on the date due to a booking error. That kind of (rare) thing aside, I love it.",4.22.0,babylon_itunes
Great Britain,05/30/2020,1,"I’ve just had a conversation with a pleasant clinician. The issue is - I am struggling to stop smoking (I am trying to get pregnant) and asked for medication to be prescribed in order to stop. I was advised it was not possible to prescribe Champix/similar due to monitoring required. Whilst I understand the process,  it was understood Babylon service will be able to assist with matters as such.  After my call I will now need to contact me HNS GP and ask for the same, which contradicts  the point of having a private GP.

Babylon Service is paid for, yet there’s no resolution In the end.",4.22.0,babylon_itunes
Great Britain,05/30/2020,5,"This has completely elevated my healthcare. It’s prompt, reliable and encouraged me to take my health more seriously. I feel genuinely cared for and meet amazing nurses and doctors. It’s define my worth it. 

I have visited one of their clinics too and it so clean, beautifully designed. The people once again were amazing and it’s just great!!!!!",4.22.0,babylon_itunes
Great Britain,05/30/2020,5,This is a great app.,4.22.0,babylon_itunes
Great Britain,05/30/2020,5,"Love the Babylon app! Perfect for when you need to see someone but can’t get into your GP. And with everything online nowadays anyway, it’s the perfect solution. Had an eye infection and got prescribed antibiotics then and there as she could clearly see the problem on the video app. So happy to have it resolved without having to go to urgent care on a Saturday.",4.20.8,babylon_itunes
Great Britain,05/29/2020,1,"The app does not recognise my company pin.
So had to call the helpline. Went backwards in queuing system from 12th to 22nd. 
Requested a Call back but does not recognise if you give an alternative number. 
The service with the doctor was great. The rest is awful.",4.22.0,babylon_itunes
Great Britain,05/29/2020,5,I have been so impressed with Babylon and how friendly and helpful everyone is.,4.22.0,babylon_itunes
Great Britain,05/28/2020,1,"Absolutely shameful! I ordered a SARS-CoV2 antibody test, told two different dispatch dates, still not arrived and now told that the results won’t be released and haven’t been able to arrange a refund. Awful customer service for a product miss sold!",4.20.8,babylon_itunes
Great Britain,05/28/2020,1,I strongly recommend you do not pay any money to this app as the capacity of the company to fulfil or communicate with customers is smoke and mirrors,4.20.8,babylon_itunes
Great Britain,05/27/2020,1,"Had appointment booked for 8:50pm. Received a reminder alert and hour before and then again 10 mins before. Now it’s 8:50pm. I waited and waited but no call. I checked my details to ensure they were correct. I checked my emails - just in case. Nothing. Complete waste of time. No comms as to why the doctor didn’t call. My internet connection is high speed broadband and my mobile provider is EE and I have excellent connections. I can only assume that the doctor read my medical notes and decided it wasn’t worth their time. My health may not be important to them, but it is to me. Stick to NHS. Don’t waste your time with Babylon. It’s a con!",4.20.8,babylon_itunes
Great Britain,05/27/2020,1,"App states 24/7 service. Booked an appointment at 3pm but was only able to get a confirmed appointment for the following day. The appointment was then cancelled with no explanation 1 hour later, yet they took payment. Once I reached out they explained that the doctor was t feeling well? I expressed to the support team that this was disappointing to which she replied is there anything else I can help you with. I thought this would be easy and seamless but seriously would not recommend.",4.20.8,babylon_itunes
Great Britain,05/27/2020,5,"I think Babylon really suits me as a young person particularly, as it’s really easy to get an appointment exactly when you want it and pick up prescriptions nearby. Both practitioners I have seen from Babylon have been really great and helped me lots. Thank you Babylon!",4.20.8,babylon_itunes
Great Britain,05/27/2020,5,"Excellent service - registered yesterday afternoon, which was a quick and easy process and had my appointment this morning.",4.20.8,babylon_itunes
Great Britain,05/27/2020,1,The COVID-19 antibody is a SCAM! I want a refund.,4.20.8,babylon_itunes
Great Britain,05/27/2020,1,"I ordered the Covid Antibody test on May 16th. The App told me it was dispatched Monday May 18th. After 5 working days it had not arrived. As instructed for non delivery on the app, I contacted Babylon, was offered a call back option to avoid waiting in the queue, which I took. No one called back. I called again and waited in the queue and was told to wait another 3 days. Today, Wednesday 27th, the test kit had not been delivered. I called Babylon midday, half way through the call I was disconnected. 
I called Babylon again at about 6pm, joined the queue at position 11.  Then moved to 12 and then 13. I then moved up to 9. Only to go back to 10 and then 11 in the queue. What kind of queuing system is that?
Finally I got through and spoke to a very helpful man in the call centre. It took him some time to find my account details - I had to e mail him an e mail I had received from Babylon to help him. I also went into the app to try and help him find my account. Then I saw that since Friday 22nd, the despatch date for the test had been moved from Monday 18th to Thursday 21st. The man in the call centre said his system showed the despatch date was Friday the 21st. What is going on? How can despatch dates be changed in you system AFTER the original despatch date. How can the system show one date on the app and another date in your call centre?

How can I have confidence in the integrity of test process? This is not a rhetorical question. These are not unimportant tests. This is not the level of integrity I expected from Babylon nor from any company offering health services at any time, let alone a time like this.",4.20.6,babylon_itunes
Germany,05/27/2020,1,Just taken your money,-,babylon_itunes
Brazil,05/27/2020,5,Excelente,-,babylon_itunes
Great Britain,05/26/2020,5,Amazing app can see and talk to GP or medical professionals at any time.,4.20.8,babylon_itunes
Great Britain,05/26/2020,1,"I purchased a covid 19 antibody test 11 days ago and despite being told it was shipped and royal mails problem I still have not received it . I have received multiple items from royal in 24 hours so this is completely untrue. No despatch,  shipping or tracking information provided at all. I have ordered a test with a high street retailer . Much more reliable ! AVOID!",4.20.8,babylon_itunes
Great Britain,05/26/2020,1,Sold a COVID test. Still not arrived despite it being stated it would take no longer than 5 working days. Constant spam mail from them everyday,4.20.8,babylon_itunes
Great Britain,05/26/2020,1,Paid for an antibody test. Ap said despatched Mon 18 May. Still no test Friday 22 May. Told to wait another week because delivery problems. Didn’t offer to check where it was with couriers. Promised to escalate. Nothing. No response to email and no complaints procedure. Still no test. Government have now halted lab testing for these kits. Still no response. Thankfully paid on a credit card.,4.20.5,babylon_itunes
Great Britain,05/25/2020,5,Excellent feedback. Dr called on time and although the video option did work (it really wasn’t necessary) consultation was excellent with prescription advised. First class service,4.20.7,babylon_itunes
Great Britain,05/25/2020,1,Avoid. Deliveries are unreliable. Says dispatched then a week later they change there mind,4.20.7,babylon_itunes
Great Britain,05/25/2020,1,All goes well till appointment - but thereafter medicine collection is a pain every time,4.20.7,babylon_itunes
Great Britain,05/24/2020,1,Glitchy And unusable,4.20.7,babylon_itunes
Great Britain,05/24/2020,5,"I can only recommend, it’s really good and fast and reliable",4.20.7,babylon_itunes
Great Britain,05/24/2020,1,I haven’t received the test kit I ordered 5 days ago. Just heard that Abbott do not endorse your test. So please provide me with a refund. What a SCAM!,4.20.7,babylon_itunes
Great Britain,05/23/2020,1,Ordered a test kit from them told it was dispatched only to find later that they had changed the status back to processing. Dishonest at best and would certainly not trust such a company with my health or GP matter. Best avoided,4.20.7,babylon_itunes
Great Britain,05/23/2020,1,I fainted and was waiting for this appointment all day. She didn’t call or even bothered to cancel. Disgraceful.,4.20.7,babylon_itunes
Great Britain,05/23/2020,2,Application keep syncing all the time with Apple Watch and Health App.,4.20.7,babylon_itunes
Great Britain,05/22/2020,1,No point having a snazzy app if you can’t deliver services,4.20.7,babylon_itunes
Great Britain,05/22/2020,5,Used to not go to the doctors when unwell and always missed repeat prescription orders as the waiting times were so long. This has changed the game.,4.20.7,babylon_itunes
Great Britain,05/22/2020,1,So it turns out that this test is not approved by Abbott and the use of Abbott’s name in Babylon information materials has not been authorised by Abbott either.,4.20.7,babylon_itunes
Great Britain,05/22/2020,1,"Go through the whole verification process and get the message that the account is now verified, then the verify my account banner is still there and asking me to start the process again! Tried to add two different cards as payment methods and got the error “something went wrong” both times. Really helpful error message there! Don’t waste your time with this app.",4.20.7,babylon_itunes
Great Britain,05/22/2020,1,My booked appointment was cancelled and booked at a time I would be busy without consulting me first.,4.20.7,babylon_itunes
Great Britain,05/22/2020,5,Love the app has made it so much easier to obtain healthcare and manage my anxiety.,4.20.7,babylon_itunes
Great Britain,05/20/2020,1,"Why is Babylon marketing test kits when Government advice is not to use them, they are unproven....? A disgrace, I’ve deleted my Babylon app and requesting deletion of all data held by them on me. I have to rate this review 1 star to get it posted, otherwise it would be zero.",4.20.7,babylon_itunes
Great Britain,05/20/2020,2,Not user friendly and most of patients docs like lab test results are not sent on the app.,4.20.7,babylon_itunes
Great Britain,05/20/2020,1,"I had blood tests done 4-5 weeks ago. I am still waiting for the results. When I first enquired about my test results I was told they would be emailed or posted. 
First the Babylon doctor did not request the full thyroid panel and now I don’t even receive the test. 
Pathetic.",4.20.7,babylon_itunes
Great Britain,05/20/2020,5,"Very pleased with the service I have been given. It’s easy, efficient and effective. Especially during the current Covid-19 challenges. Every dr I have seen have been professional and understanding of medical complaints. Very glad I signed up for this service and have already recommended to friends and colleagues.",4.20.7,babylon_itunes
Great Britain,05/20/2020,1,"They can’t send prescription by email. 
Poor service.",4.20.6,babylon_itunes
Great Britain,05/20/2020,1,"I bought a test kit but there was no option for next day delivery. Seems ridiculous - can’t think of a situation where someone is willing to pay £70 for a test, but not bothered about how quickly they get the results. 5 days later, still waiting for my test",4.20.5,babylon_itunes
Great Britain,05/19/2020,1,My initial GP appointment identified a need for a physiotherapist—called BUPA & got lots of contacts- however they are only doing video/telephone consultation as apparently they are in a high risk role - would have saved me a lot of time had I known that in the first place!,4.20.5,babylon_itunes
Great Britain,05/18/2020,1,Tried to get an appointment for my daughter. The app would not recognise the code provided by BUPA. By the time this was resolved I had to wait another 3 hours for an appointment. Not great for a 4 year old. Ended up going the normal GP route and would not recommend this at all.,4.20.6,babylon_itunes
Great Britain,05/18/2020,4,The only thing missing is being able to book a follow up appointment with the same doctor. I want to be able to book follow ups with doctors I’ve already seen. Not to always book with a new doctor. Thanks.,4.20.6,babylon_itunes
Great Britain,05/18/2020,5,"Book with GP take ages to get appointment and Babylon is very good and can be done within hours or next day. 

I book it yesterday, Sunday most GP closed. But this Babylon was open. 

Suggust to use FaceTime preferably that Skype cos Skype can get frozen. 

Excellent service. 

Thanks 

John",4.20.6,babylon_itunes
Great Britain,05/18/2020,5,Best app of UK,4.20.6,babylon_itunes
Great Britain,05/18/2020,1,"I used the GP service to get a prescription for some eye drops. I’m pregnant and so have a prescription charge exemption certificate. On taking the prescription to be filled at the pharmacy I was told there was a £47 charge and exemption did not apply. £47 for eye drops is absolutely disgusting and at no point was I informed before getting the prescription filled that there would be an additional charge. Considering I pay for private health care and the Babylon GP service, I was absolutely disgusted that I then had to pay nearly £50 to have my prescription filled. I will NEVER be ordering another private prescription through Babylon again. The only reason I used the service in the first place was because it was on the weekend. I would have waited until Monday morning if I’d have known about the appalling extortionate fee. Absolutely disgusting. I actually can’t express how angry I am about this.",4.20.3,babylon_itunes
Great Britain,05/18/2020,1,"Software itself is good but the quality of the doctors is poor in my opinion. Devoid of any humanity, the doctors power through as many appointments as possible without much interest in your actual problem.",-,babylon_itunes
Great Britain,05/18/2020,2,"Software itself is good but the quality of the doctors is poor in my opinion. Devoid of any humanity, the doctors power through as many appointments as possible without much interest in your actual problem.",-,babylon_itunes
Great Britain,05/17/2020,5,Really good,4.20.6,babylon_itunes
Great Britain,05/16/2020,5,"Excellent app, allowing you to put your allergies and current medication on so you don’t have to go through the process when getting medical help. You are able to put your preferred pharmacy too, and prescription was sent quickly to them. Have used twice and in both occasions the GP and pharmacist were professional and friendly. Highly recommend",4.20.6,babylon_itunes
Great Britain,05/16/2020,5,Easily able to have a video or voice call with a doctor or nurse. They are very helpful and this service is much more convenient.,4.20.6,babylon_itunes
Great Britain,05/15/2020,1,Membership code is not working for my family dependents!?,4.20.6,babylon_itunes
Great Britain,05/15/2020,3,Just moved from my previous physical GP and I have no access to my medical history.,4.20.6,babylon_itunes
Great Britain,05/15/2020,1,Am trying to order a test kit and app crashes,4.20.5,babylon_itunes
Great Britain,05/15/2020,1,"Impossible to deal with “family member”. Asked constantly to verify even when already verified several times! 
Impossible to get membership code.",4.20.5,babylon_itunes
Great Britain,05/14/2020,5,"User-friendly and easy to visualise info.
This app looks after ita patients.",4.20.4,babylon_itunes
Great Britain,05/13/2020,5,"I was initially not impressed with the fact that you can’t see your GP in person and I put off using the app for a long time despite my files being transported to Babylon. I used it for the first time during COVID-19 and I am so impressed. Not only no travel time, but also the gps are so helpful and sympathetic, got my prescription within an hour from the pharmacy across the road from my home. I LOVE THIS APP, such a life saver when you need urgent care.",4.20.4,babylon_itunes
Great Britain,05/13/2020,3,Old fashioned phone app - is not really suitable for IPads,4.20.4,babylon_itunes
Great Britain,05/09/2020,5,"They’ve been very helpful and attentive, they’ve tested me broadly and efficiently and never fail to deliver care",4.20.3,babylon_itunes
India,05/08/2020,1,"Hello, I’ve had a really positive experience interacting with Martha and Adam at customer service and tech support as well as with Dr Rebecca Towsey who prescribed my usual medication. However, the pharmacist Dionne refuses to take the Bablylon doctor’s prescription, check records and notes of our video call as well as records from my previous GP to action it. Adam has been coordinating all day and promisedI will receive a call back from the pharmacy. On the contrary, I’ve had no call backs and now supposedly have a new appointment for Monday. I do not understand why the previous doctor’s prescription is not enough. I do not appreciate the pharmacist’s tone to my not being a UK citizen. I provided an international prescription for her records with the hope that she can also check my previous NHS records. I have been in the country for 10 years and am a Fellow at the LSE. This is unacceptable behaviour.",-,babylon_itunes
Great Britain,05/08/2020,5,Had my first GP consultation for an irritable skin condition. The Dr was simply outstanding. Wish I had called much sooner.,4.20.3,babylon_itunes
Great Britain,05/07/2020,1,Won’t accept bupa code,4.20.3,babylon_itunes
Great Britain,05/07/2020,1,I’ve been getting charged for months now. Tried using the service and the appointment didn’t go through. Now £150 in and still having difficulty getting any service.,4.20.3,babylon_itunes
Great Britain,05/07/2020,5,"Fast, competent, so easy. The new way to access the NHS.",4.20.3,babylon_itunes
Great Britain,05/05/2020,5,Really helpful doctor. No time constraints and a great facility,4.20.3,babylon_itunes
Great Britain,05/05/2020,5,"I’ve been a patient with Babylon for a few months now. I wanted to say thank you for the amazing patient care!

Having fast access to a friendly and professional GP via the Babylon app has always been a good experience and any prescriptions or referrals have been handled efficiently. When I did need to see a GP face to face (during lockdown), that was managed very well. 

Initially the only negative I’ve experienced was with the administration/back office functions but in the past six weeks that has improved noticeably. 

I am very impressed and have no hesitation in recommending the Babylon GP service to my friends and family. 

Regards,

James Clary",4.20.3,babylon_itunes
Great Britain,05/04/2020,3,"On the whole Babylon is great, really leading the way in telehealth in UK and it’s amazing being able to see a doctor on the day you request. However, I’m leaving a low review because as the title suggests the system for ordering repeat prescriptions is broken and to the best of my knowledge all repeat prescription information has to be requested and updated manually making the functionality, notifications etc useless. I’ve been told that support are aware of this but nothing seems to be working to change it. The NHS’ dated “patient access” system that Babylon wants to replace actually works a lot better for repeat Rx ordering. Please fix this!",4.20.3,babylon_itunes
Great Britain,05/04/2020,5,"The doctors are all great quality, and I never have to go in. If I do it's a hassle but once you are through that getting repeats etc is a doddle.",4.20.3,babylon_itunes
Great Britain,05/03/2020,5,"Thank for your service it is so much easier quicker better than trying to make an appointment with your GP then trying to deal with the receptionist who wants to know why your want to see a GP and two weeks later you get an appointment as if that’s a help. 
With Babylon tape the app make the appointment job done same day you have your speaking to a doctor and if you need meds prescription all sorted and sent to pharmacy of your choice. 
Sorted",4.20.3,babylon_itunes
Great Britain,05/03/2020,1,"20200502
Where’s the much vaunted ‘Appointments’ button? Pretty darn useless without it... 

Past consultations themselves have always been professional but yet remain pointless as we keep being referred back fir a real appointment. 

Doctor = good
App = pony",4.20.3,babylon_itunes
Great Britain,05/03/2020,1,"Video calls have been effective but getting repeat prescriptions is rarely straightforward - reordering is repeatedly met with an error message, resolved - after a 30 min phone call with support. Same issue the next month.",4.20.3,babylon_itunes
Great Britain,05/03/2020,5,"Big thank you to Dr Hijazi and the team.
Took the time to listen to my symptoms and come up with a plan of action.
Prescription en route already to my local pharmacy.🤗
Would recommend this service.
Thank you.
Lee",4.20.3,babylon_itunes
Great Britain,05/03/2020,2,"Really frustrated today to have booked an appointment for 11:20, sat waiting for the call from the consultant for half an hour and no call and then only by digging around do I find that it has been cancelled. In this current climate of COVID-19, especially as my throat is very sore, some notice or notification of this being cancelled and why, would be helpful. I now can’t get an appointment for another six hours!  Frustrating.  Otherwise, generally helpful to have this service, let down by irritations such as this.",4.20.3,babylon_itunes
Great Britain,05/02/2020,2,"The app is very useful but there is appears to be no feedback mechanism to report bugs so I’m resorted to leaving a bug report in this review!

When in the ‘Me’ section and I tap on ‘Memebership’ and then ‘Insurance Details’ I get an error message popping up asking my to check my internet connection (which is working fine).  If I attempt to add any information it can’t be saved as the same error pops up again and again.  If I try to select ‘Company Name’ I can’t as it’s greyed out and cannot be selected...",4.20.3,babylon_itunes
Great Britain,05/02/2020,2,"3 calls. First one, video call bugs out. Doctor doesn’t think to call me on cellphone. Second one, do it via call so no bug but doctor can’t see or request an imagine of a script I already have. Third call rescheduled. Poor experience.",4.20.3,babylon_itunes
Great Britain,05/01/2020,1,"I have had their £9.99 monthly subscription for almost most 14 months. I was paying this for myself and another subscription for my wife, and a third for my son. All totalled to almost £30 a month for the three of us. 

And what do we get? Nothing, apart from the fact that they are 30 to 40% of the time respond to appointments late, they have never prescribed a medication and pretty much anything they say, can be easily found on medical websites like Webmd or Mayoclinic.  No referrals, no prescriptions, nothing. Avoid at all cost.",4.20.3,babylon_itunes
Great Britain,04/30/2020,1,Poor quality app,4.20.3,babylon_itunes
Great Britain,04/30/2020,1,Every time I login via Facebook since the latest update I get “an unexpected error occurred” and I am unable to use the app.,4.20.3,babylon_itunes
Great Britain,04/30/2020,5,"Wow wow wow, the perfect service for lazy hypercondriacts! Also amazing staff and 24/hour care ! :)",4.20.3,babylon_itunes
Great Britain,04/29/2020,5,Many thanks great service,4.20.3,babylon_itunes
Great Britain,04/28/2020,5,"First time using the Babylon app, we are a Bupa customer. Babylon customer support was very helpful in sorting some problems with the app setup. Our first call to the GP was great, very helpful even though we could not see the GP on video he could see us. Great app and service!!",4.20.3,babylon_itunes
Great Britain,04/28/2020,5,This is the best service I could wish for!,4.20.3,babylon_itunes
Great Britain,04/27/2020,1,"Terrible. Impossible to get repeat predictions set up (they want to keep making you book appointments) and you only get a 3 day window between scrips so if your can’t get to the chemist, well that’s just too bad. Now need to figure out how to get a proper GP instead of this investor focussed non patient-centric rubbish.",4.20.3,babylon_itunes
Great Britain,04/26/2020,1,"First day using it. We had an appointment scheduled for 3.50 this afternoon and haven’t heard anything, and that was over an ago from now.

Will just have to use our regular GP instead. This app did nothing for us except waste our time.",4.20.3,babylon_itunes
Great Britain,04/25/2020,3,"This app needs to consider what it calls healthy... using body mass index to call people overweight is unfair to muscular individuals with a low body fat percentage, who are fitter / healthier than most. Also, eating whole grains is not a marker of a good diet, especially if individuals are gluten sensitive or choose to avoid it.",4.20.3,babylon_itunes
Great Britain,04/24/2020,1,"Love the idea of this app/service, however the app doesn’t work correctly and make sure you read the T&Cs carefully!

The appointment time’s tend to be very early in the morning or very late at night. After staying up until 11pm using the app for the first time for an appointment, the video service would not work and the doctor could see me but I couldn’t see them. I therefore had to arrange another appointment for early in the morning the next day. Where the same problem occurred. I manage to replay the video call after the appointment in the history, however the live functionality failed.

Due to the bad experience I decided to cancel my annual subscription and requested a refund. A refund was not possible as I was out of the 14 day cancellation policy, therefore I asked customer services to reinstate my membership for the remaining of the year, that I paid for. Please see their reply below:

“Unfortunatley, we cannot reinstate your service once you downgrade your membership. 

In our Terms and conditions, it states that access instantly stops once subsciptions are downgraded to pay as you go.”",4.20.3,babylon_itunes
Great Britain,04/24/2020,5,I travel a lot for work and it’s difficult to get medical advice while traveling in foreign countries. The app has been exactly what I need when I’m traveling and if I get sick. The Doctors and staff are very helpful and give useful advice. I strongly recommend this app.,4.20.3,babylon_itunes
Great Britain,04/24/2020,2,Very helpful. Love it,4.20.3,babylon_itunes
Great Britain,04/24/2020,5,"Amazing that I can easily book appointments through the app, within 30 mins sometimes! Always same day at least. Booked a follow-up appointment for later in the day too when I needed a blood test. 10x improvement from experience before - having to call and then wait weeks for an appointment.",4.20.3,babylon_itunes
Great Britain,04/24/2020,1,"I must to have my treatment very urgently, I wasted a lot of time with Babylon service and finally I didn't have a simple prescription. 

without understanding my state of health

Very bad service!!",4.20.3,babylon_itunes
Great Britain,04/23/2020,1,"Signed up to this app via my company, I used it once and it went really well, spoke to a GP and was prescribed medication. On my way to pick up my medication the app suddenly close and logged me out I attempted to log back in but it didn’t recognise my password so I initially thought I have forgotten it, well that wasn’t the case so I requested for a password reset but it didn’t send my a reset to the email I had used to sign up, so I am assuming it has deleted my whole profile. I wouldn’t have been so annoyed if I had been able to collect my medication as I couldn’t show proof as they didn’t have a prescription for me.",4.20.3,babylon_itunes
Great Britain,04/23/2020,5,"Can’t fault the company and service, so handy to be able to speak to a gp  as when required, have been faultless and so helpful",4.20.3,babylon_itunes
Great Britain,04/22/2020,5,"After hurting myself I used the Babylon app to book a appointment with a doctor via video conferencing. Within a hour I was contacted and warned by text message 10 minutes beforehand. The service was remarkable and efficient. After being assessed , an online prescription was ready  for me to collect at my local pharmacy. The all experience was very reassuring and I cannot recommend high enough the service. Especially during time of pandemic. Very professional and well designed application.",4.20.3,babylon_itunes
Great Britain,04/22/2020,5,Love this app! The service is amazing and the fact you can get an appointment at a time that suits you is brilliant. Really good call and worked well. Amazing!!,4.20.3,babylon_itunes
Great Britain,04/22/2020,5,"I am so happy with this app, I am in London and I can book, amend, cancel appointments and order repeat medicine all from the app no call centre just this app. Video or phone calls, both available and sufficient. In person appointment is recommended but this can be done via a video call if like me, you are busy at work. I am on the free service and I would give it 5 out of 5.",4.20.3,babylon_itunes
Great Britain,04/21/2020,5,"This is infinitely better than being registered with a local GP. I’ve been wanting to make the switch to Babylon for some time and COVID-19 has meant I finally took the plunge. Signing up was straight forward and once complete I booked an appointment for half an hour later. I wrote my symptoms down and was connected with a nurse who spoke to me for 10 minutes, was very professional and kind and gave good advice. Afterwards I had access to the notes she made during the call, and links to more information about my issue. I’m so impressed and feel that this will completely revolutionise healthcare. All the hassle has been removed, and I understand that if a phone call or video call is not enough, patients can be referred for an in-person appointment. Brilliant.",4.20.3,babylon_itunes
Great Britain,04/18/2020,5,"Hi 
I think Babylon is very useful and thoughtful, it benefits a lot of people specially the ones who need medical most",4.20.2,babylon_itunes
Great Britain,04/18/2020,1,"I was very impressed by how easy it was to book an appointment with a GP. I got an appointment at my preferred time, at very short notice. The consultations also went very smoothly. 
There are however a few glitches in the process (or app) that could be improved. Firstly, I was told that my ID papers had been verified and that I was all set to go. However, after my consultation I was informed that this was not the case and I had to contact the helpline. 
As a result my prescription as not released, causing a delay. 
When this was resolved I was told I needed another GP appointment in order to reissue the initial prescription. I do not know why this would be necessary. 
Scheduling another appointment was easy but of course leads to further delays. 
When the 2nd appointment was completed and and prescription reissued, I selected a pharmacy nearby where the prescription would be sent to. 
Having waited another day, the prescription never arrived. 
It is not clear why the prescription was not sent to the pharmacy, but regardless of the reason, there was nothing to alert me or Babylon that the prescription was not issued/never received. 
After another delay and call to the helpline, I finally managed to find another pharmacy. I asked Babylon to send the prescription here, but to no avail. When I again called the helpline I was told Babylon didn’t have a fax number for this pharmacy. Why was I not contacted and made aware of this - or simply call the pharmacy to ask for the number? Instead the prescription was stuck in limbo for a 2nd time, causing more delays. 
So whilst the GP appointments seem to work very well, it is of little use until the prescription process is ironed out.",4.20.2,babylon_itunes
Great Britain,04/17/2020,5,Excellent app with amazing doctors who really listen and care. Thank you 😊,4.20.2,babylon_itunes
Great Britain,04/16/2020,5,Great idea. I haven’t been to a GP for months and they are always available. No need to take time off work anymore.,4.20.2,babylon_itunes
Great Britain,04/16/2020,1,Pathetic ..... 3 appointments missed no explanation,4.20.2,babylon_itunes
Great Britain,04/15/2020,1,"We should not forget this is a MEDICAL app, so it should be very carefully designed, organised and thought-through...not at all the case..
Buggy and problematic - had appointment cancellation one hour before the appointment, after waiting 3weeks. They blamed it on the app
Unoptimised - lacks important features and thus makes app feel abandoned since 1998.
Relevant basic information not visible between departments, made me loose another appointment.
Lack of basic functions - can’t upload more than one image on condition details..in most cases this makes it absolutely useless.
Inconsistent information received from different employees - makes them look completely unorganised, makes you not trust them.
MOST IMPORTANT: DATA IS NOT CONFIDENTIAL BETWEEN YOU AND THE DOCTOR!!!! Even though they tell you it is, they have proven me it is not, as even the customer service that handled my complaint, had access to sensitive data, in fact to all patient data! I have recordings of the proof and will make it public. This app unfortunately is light years away from being what it portraits to be and honestly what it should be. It is without a doubt A RISK TAKEN FOR ANYONE USING IT!",4.20.2,babylon_itunes
Great Britain,04/15/2020,1,Just keeps coming up ‘error’ every time I try & add my code - it’s a free service if you’re a BUPA member,4.20.2,babylon_itunes
