Country,Date,Rating,Review,Version
English,04/14/2020,width: 99%;,You will never need to register at a local surgery again. Easy to use and get an appointment with a doctor or pharmacist the same day. Would recommend this app to anyone!,4.18.2.36555000
English,04/13/2020,width: 99%;,Used once and received outstanding service. Was thorough in questioning my background and symptoms. Very clear on what he thought was wrong and what I should do and provided next steps if things didn't go according to plan. Really set my mind at ease.,4.20.0.37286000
English,04/13/2020,width: 99%;,"Very fast and easy to use , within an hour I'd had a consultation, prescribed medication and collected it from local pharmacy.",4.18.2.36555000
English,04/12/2020,width: 99%;,Quick easy access to healthcare professionals,4.20.0.37286000
English,04/12/2020,width: 99%;,Great service. Really quick easy and helpful.,4.20.0.37286000
English,04/12/2020,width: 99%;,"While one might sometimes grumble that the modern world inserts too much distance between you and other people (including service providers), when you're able to have a consultation with a doctor within a quarter of an hour of requesting one on a Sunday morning, you realise digital technology does have its up sides.",4.18.2.36555000
English,04/12/2020,width: 99%;,Great first GP consultation. Used app for my young son. A little problem at first trying to register but a quick call to the helpline with no waiting resolved this and had GP consultation just 8 minutes later! Very satisfied this morning.,4.18.2.36555000
English,04/11/2020,width: 99%;,"Very good service and available when my own GP isn't, thoroughly recommended when you need to get GP advice",4.20.0.37286000
English,04/10/2020,width: 99%;,"Personal doctor in your pocket. No sitting in a waiting room, the advice is great and I'm very happy!",4.20.0.37286000
English,04/10/2020,width: 99%;,Super easy to use and great GPs on the end of the phone,4.18.2.36555000
English,04/09/2020,width: 99%;,"Excellent app, just need to clarify regarding the delivery of the medication",4.18.2.36555000
English,04/09/2020,width: 99%;,Was worried about my sudden feeling of breathlessness. Got an appointment in 20 min and the doctor was amazing.,4.18.2.36555000
English,04/08/2020,width: 99%;,Love it get 24/7 access to GP and clinicians,4.18.2.36555000
English,04/07/2020,width: 99%;,Very professional and attentive.,4.18.2.36555000
English,04/07/2020,width: 99%;,"The new way to see the GP. Forward thinking, fast and effective.",4.18.2.36555000
English,04/07/2020,width: 99%;,Excellent app. Especially in the current climate. Extremely glad to have Health Care insurance right now!,4.18.2.36555000
English,04/06/2020,width: 99%;,"Excellent service, promt response & Great Doctor, My son was tottally at ease on the Video call.",4.18.2.36555000
English,04/06/2020,width: 99%;,"Very good service, quick and efficient.",4.18.2.36555000
English,04/06/2020,width: 99%;,"Works well, health advice and NHS gp/clinician access works as it should.",4.18.2.36555000
English,04/06/2020,width: 99%;,Very quick to get an appointment and the doctors are kind and informative. They do not rush you. So much better than my current GP where it takes a month to get an appointment,4.18.2.36555000
English,04/04/2020,width: 19%;,"Doctors cancel last minute without any explanation. Sometimes they dont even bother cancelling, they just dont call you at all. Very bad service",4.18.2.36555000
English,04/04/2020,width: 99%;,Great service for sure. I found the experience to be really easy to use. The symptom checker was fast and gave me options on what to do next. Thats when I decided to book an appointment and by some miracle I was able to have a video chat with a doctor within 15 minutes. She gave me a clear explanation about what I was suffering. With some painkillers now I feel better within 30 minutes - traditionally I would have to waited much longer to get a solution.,4.18.2.36555000
English,04/03/2020,width: 99%;,Very easy to set up and straightforward. Available at very short notice.,4.18.2.36555000
English,04/03/2020,width: 39%;,"The app itself is generally fine, but there are some usability issues. The main problem is that doctors are frequently late for the appointments. In addition, the video call functionality doesn't work well, even though I'm on a very strong internet connection.",4.18.2.36555000
English,04/03/2020,width: 19%;,"This service is close to being a scam. All medication that I required was ""restricted"" so they refused to provide prescriptions, and after downgrading my account I've found out that they immediately remove your premium features regardless of where you cancel in the month period. I'm considering a charge back because this is borderline fraudulent",4.18.2.36555000
English,04/02/2020,width: 99%;,"Pleased with this service, quick and easy",4.18.2.36555000
English,04/02/2020,width: 19%;,You no longer receive notes on your previous appointments. Not sure how this can be a reliable service without a written record or equivalent of your appointment. Switching back to a traditional GP even though I've received great service here.,4.18.2.36555000
English,04/02/2020,width: 99%;,"Fast access to appointments, unlike regular GP service. No need to work through reception team who can often act as barriers to the GP service. Greater sense of control over your own health care management. Really easy to use App with lots of useful information and reminders to ensure you don't miss anything. So far, very impressed.",4.18.2.36555000
English,04/01/2020,width: 99%;,Just incredible everytime. Especially in this current crisis,4.18.2.36555000
English,03/31/2020,width: 99%;,"Amazing! How it should be, fast appointments, great doctors",4.18.1.36032000
English,03/29/2020,width: 99%;,Very quick and good service,4.18.2.36555000
English,03/29/2020,width: 99%;,Makes accessing medical care so simple and convinient!,4.18.2.36555000
English,03/28/2020,width: 19%;,"Terrible experience, scheduled a GP call and they didn't call, didn't send any notification of delay or cancellation, tried to call the support line instead and couldn't get through to anyone other than a robot",4.18.2.36555000
English,03/28/2020,width: 19%;,used this many times with no results. It just tells you to contact the doctor no matter what you say. I realise they cant give you a proper diagnosis buy it gives absolutely no indication of what may be wrong with you. no help at all.,4.18.2.36555000
English,03/28/2020,width: 99%;,"Very easy to access, professional and compassionate advice. Can arrange appointments outside of work hours.",4.18.1.36032000
English,03/27/2020,width: 99%;,Having the possibility of scheduling an appointment within minutes it's game changing.,4.18.1.36032000
English,03/26/2020,width: 99%;,Even before these days of covid19 it was hard enough to get a doctors appointment so this app cuts that out.,4.18.1.36032000
English,03/26/2020,width: 99%;,"Easy to use, really helpful and super nice doctors. I booked my appointment for 20 minutes later, I did not have to wait to get an appointment and I could just have my consultation while I was sitting at home. I can only recommend it!",4.18.1.36032000
English,03/25/2020,width: 19%;,Great app. Great GPs. Appalling support team.,4.18.1.36032000
English,03/25/2020,width: 99%;,App is incredibly easy to use and doctors are incredibly attentive. Couldn't recommend more!,4.18.1.36032000
English,03/25/2020,width: 79%;,"The app is pretty easy to use and has a sleek design. I would recommend having sections dedicated to listing all the medication you have been prescribed and all the summaries for your appointments, which you can search through, as I can only find this through notifications . A web app or desktop access would also be helpful.",4.18.1.36032000
English,03/24/2020,width: 99%;,First time use. Very good app and service.,4.18.1.36032000
English,03/24/2020,width: 99%;,Really handy! Can finally get a GP appointment,4.18.1.36032000
English,03/24/2020,width: 99%;,Very useful app- so much quicker compare to standard GP appoitment.,4.18.1.36032000
English,03/23/2020,width: 99%;,A seamless and reassuring service,4.18.1.36032000
English,03/23/2020,width: 99%;,"Such an amazing service. Can get a same day appointment with a GP or Physiotherapist, which is incredible ❤️",4.18.1.36032000
English,03/23/2020,width: 99%;,"Easy and useful, check with your company for of you get it for free",4.18.1.36032000
English,03/23/2020,width: 99%;,"Amazing, fast service even in times like these (Coronavirus). Thank you!",4.18.1.36032000
English,03/23/2020,width: 99%;,A very good app and the GP At Hand service has been nothing short of stellar every time I used it.,4.18.1.36032000
English,03/23/2020,width: 99%;,"Amazing app! Got a prescription for my son's asthma at 10:50pm in the evening, 10mins later he was breathing normally again. Thoroughly recommend this app!",4.18.1.36032000
English,03/22/2020,width: 99%;,Always a great and professional experience,4.18.1.36032000
English,03/21/2020,width: 99%;,"Always updating and improving. I'm someone who needs to speak to doctors often due to medical conditions and although it can be frustrating to have to explain my medical history every time, the doctors are always understanding, polite and attentive! Would definitely recommend!",4.18.1.36032000
English,03/20/2020,width: 99%;,"Efficient, ,easy to use , no nonsense, recomend",4.18.1.36032000
English,03/19/2020,width: 99%;,Great app easy to use. Appointments easy to arrange with Doctor and prescription sent to pharmacy. Would recommend and use again.,4.18.0.35225000
English,03/18/2020,width: 99%;,Very efficient - precisely as needed.,4.18.0.35225000
English,03/18/2020,width: 99%;,Well designed app. Quick service and lovely people!,4.18.0.35225000
English,03/18/2020,width: 99%;,"A highly.positive experience after a telephone consultation. The Dr was incredibly well-informed, guided my choices well and supported my issue. Would definitely use this excellent provision again.",4.18.0.35225000
English,03/18/2020,width: 99%;,"Super useful app. Offers great service, with quick appointments that suit you. Doctors are brilliant, and if you need any tests, you have a selection of venues to visit.",4.18.0.35225000
English,03/18/2020,width: 99%;,Extremely quick and easy to book a virtual appointment. Appointments are available for the same day. GP was really knowledgeable and gave a referral instantly. I saw her notes and referral letter on the app within minutes of ending the call. Would definitely recommend.,4.18.0.35225000
French,03/18/2020,width: 99%;,Perfect,4.18.0.35225000
English,03/17/2020,width: 99%;,Brilliant. What a relief to speak to pragmatic doctor under current circumstances. And medication on its way direct from pharmacy.,4.18.0.35225000
English,03/17/2020,width: 99%;,"Excellent app, well crafted & feature rich. Keep up the great work!",4.18.0.35225000
English,03/17/2020,width: 99%;,An essential service to have handy at this day and age. Seamless and reliable for primary consultations.,4.17.0.34424000
English,03/16/2020,width: 99%;,Excellent and prompt call service,4.18.0.35225000
English,03/16/2020,width: 99%;,"Excellent experience Easy to use, well explained & secure",4.18.0.35225000
English,03/16/2020,width: 99%;,Super and easy to access. Video quality and sound is too clear.,4.18.0.35225000
English,03/16/2020,width: 19%;,"Got £30 taken from me even if not using the services. Don't put your bank details through, they'll randomly renew your subscription without asking for you confirmation or if you're even using the app. I haven't used this since November and got charged £30 last week and out of nowhere and no answer to my refund claim. A proper scam",4.18.0.35225000
English,03/15/2020,width: 19%;,It's so infuriating to use after a couple times. It forces you to pay for appointments after the first couple. Despite me being registered already! How/if it can be switched back to free?,4.18.0.35225000
English,03/13/2020,width: 99%;,So convenient and easy to use!!!,4.17.0.34424000
English,03/13/2020,width: 99%;,"Easy to get an appointment and friendly, thorough doctors.",4.17.0.34424000
English,03/13/2020,width: 39%;,"Edited: dropping to two stars because the app is so frustrating. Requested video consults come through as phone calls, repeat prescription isn't working and the email support response was poor. That said, it's still a better option than my old GP practice. Original: Lots of potential, but still needs work. Still a much better option than my old GP practice.",4.17.0.34424000
